Sample_ID,Porosity_percent,Permeability_mD,Density_kg_m3,Depth_m
CORE-001,18.4,124.5,2320.1,2410.5
CORE-002,12.1,14.2,2450.6,2412.0
CORE-003,22.5,450.8,2280.4,2414.2
CORE-004,8.5,1.2,2560.2,2416.8
CORE-005,15.7,52.3,2380.0,2418.5
CORE-006,19.8,210.4,2310.8,2420.0
CORE-007,14.3,31.7,2410.2,2422.3
CORE-008,11.2,8.9,2475.0,2424.1
CORE-009,24.1,620.0,2240.5,2426.0
CORE-010,16.8,78.4,2360.3,2428.2
CORE-011,7.2,0.4,2590.1,2430.5
CORE-012,21.0,310.5,2295.4,2432.0
CORE-013,13.6,22.1,2430.7,2434.4
CORE-014,17.9,105.0,2335.2,2436.1
CORE-015,20.4,265.8,2305.0,2438.0
CORE-016,9.8,3.5,2530.8,2440.2
CORE-017,23.2,512.0,2260.1,2442.5
CORE-018,15.1,44.2,2395.6,2444.0
CORE-019,10.5,6.1,2490.4,2446.3
CORE-020,18.9,145.2,2315.0,2448.1
CORE-021,25.3,780.4,2220.0,2450.0
CORE-022,6.5,0.2,2610.5,2452.4
CORE-023,14.8,38.9,2400.2,2454.1
CORE-024,19.2,185.0,2322.6,2456.0
CORE-025,22.1,390.1,2275.3,2458.2
CORE-026,11.8,11.4,2460.9,2460.5
CORE-027,16.2,65.8,2370.4,2462.0
CORE-028,20.8,290.0,2300.2,2464.3
CORE-029,8.9,1.8,2550.0,2466.1
CORE-030,23.8,580.6,2250.7,2468.0
CORE-031,13.1,18.5,2440.1,2470.2
CORE-032,17.4,92.0,2345.8,2472.5
CORE-033,21.5,340.2,2288.0,2474.0
CORE-034,10.1,4.9,2505.4,2476.3
CORE-035,15.9,58.7,2378.1,2478.1
CORE-036,18.2,118.0,2328.4,2480.0
CORE-037,24.6,710.2,2230.9,2482.4
CORE-038,7.8,0.8,2580.0,2484.1
CORE-039,14.0,27.3,2418.5,2486.0
CORE-040,19.5,195.4,2318.0,2488.2
